usr1,usr2
98936,136510
288997,690214
218869,690214
33054,1548496
46271,5143989
962131,1118283
5960075,6808752
359482,7991310
2453479,5714991
68636,1514032
136510,808866
23567,424320
27266,7534116
742786,2803008
5988485,6119599
64356,3515929
29755,2661032
916926,8343416
587102,1912944
1695030,7039321
218869,1402639
454747,4769530
72342,962131
473,156320
68605,915191
93746,505852
218869,6808752
630373,2229334
808866,8343416
1739,132665
14472,2170843
278913,4035394
57421,2075011
302697,3481577
521120,1261542
82192,5143989
424320,8639146
334563,1962045
56748,87069
440039,5960075
278913,385822
1826001,6551009
2300789,6202990
359482,3079937
430086,2853892
176259,5960075
288997,1754803
1273177,4769530
146648,3700974
912312,2075011
509529,2463963
2141080,7250838
125878,1616594
36233,1419052
1062140,1616594
396323,3515929
357940,8343416
13217,1912944
438326,1062140
779141,912312
620271,1836668
9892,915191
93746,6551009
69856,7534116
1161310,2596435
136510,2688004
739796,1402639
630373,5043133
6171,56154
570900,7250838
87069,6213971
233976,690214
1516901,3577991
36470,232755
232755,620271
1714705,8343416
33054,6071306
194198,8634891
36470,7789569
316231,1376285
570900,1912944
13217,3182384
537571,5960075
72342,779141
278913,1755055
405590,4250706
1014658,1119331
218869,430086
333886,4250706
56748,2661032
2300789,3700974
473,7210
1249940,3506284
13217,72342
4447,5960075
1937524,6184862
13743,5043133
90131,1119331
5871937,5902332
1548496,6527694
2803008,3506284
55581,212282
266091,2853892
156568,459282
1832244,2075011
460856,4942353
29755,2300789
1279493,5714991
2537610,6551009
430086,1134263
359482,1364486
4447,544704
72606,2141080
459282,1714705
2225982,3744310
33841,359482
4447,1962045
755148,916926
68605,5714991
125878,521120
434165,965006
7210,634955
68605,2853693
241585,739796
1076044,1385270
13743,1062140
56762,288997
808866,3003468
27266,98936
3749329,5714991
454747,883095
1273177,3203536
125009,1152071
912312,2502438
9892,1714705
1320780,4556198
13217,1229358
1894914,3011117
438326,1014658
29755,33054
1376285,6202990
2315607,2404390
273426,1832244
156320,1134263
72606,3506284
505852,792285
186270,357940
2225982,3481577
2853693,7496333
156568,2223873
899891,938549
2277728,3079937
86959,626875
316231,6527694
33054,6119599
209811,962131
1134263,8639146
385822,570900
316231,690214
792285,4035394
2828992,3577991
92843,3700974
3828843,6902645
98936,399435
9211,438326
57421,1385270
2225982,3079937
36470,402967
36470,7496333
64356,273426
2170843,3515929
396323,1387211
101455,933601
136510,6164668
634955,4759041
459282,6190771
2046995,3011117
186270,2353363
2225982,3515929
1739,6171
278913,1424016
521120,883095
1226674,6071306
962131,3481577
218869,4759041
333886,2525897
186270,2225982
1119331,6164668
505852,3700974
156568,1134263
539015,5960075
521120,8726568
396323,2463963
14472,1507577
64356,6212380
9211,1513467
90131,1376285
711003,4724924
136510,302697
1758425,2353363
3079937,7991310
156568,2270968
52238,4759041
1076044,2688004
