usr1,usr2
6216,49070
1003,49546
19076,139612
89579,2760043
6408,1819502
359809,404238
999,65030
9858,9930
8835,55618
8335,1020289
302674,349223
4130,6400
64994,209382
535454,644767
11032,385185
64994,200568
32952,535454
7095,180176
39559,1786383
69505,128588
64475,65645
14511,125244
962,769869
4796,1997268
19076,1027513
637056,2832618
6396,1249760
6400,307240
624186,1200952
11032,2354983
18735,34389
3080,874129
27900,883111
14956,734172
78970,975666
6408,108366
6418,497712
9215,289092
995,18263
14005,18042
39614,64994
144309,1210398
5305,112398
1831,6442
1831,539505
90075,6611460
15369,43608
128588,207900
17715,326036
128608,480758
17903,574487
27543,64572
6290,43608
19076,539505
20193,932401
962,39489
17903,734172
14005,24358
274885,1786383
1003,36692
116993,125244
6409,884773
251509,2017368
10047,39495
33428,51565
10058,1441352
995,480790
31817,125007
89579,1411880
90075,7865263
992,2317752
65645,72794
8267,164087
64994,141869
8267,1020289
4796,359809
51014,932401
230112,406792
11306,12035
23180,549366
16281,64572
8961,32738
6993,69696
32731,3658898
1003,3608067
6409,17930
39559,108787
29128,873884
105379,289092
102246,289092
999,198895
6221,884773
13395,267472
6858,35468
128588,1798463
90075,249329
6221,18898
1003,180923
6407,10058
354317,644767
359809,818343
359809,1786383
89579,1020289
3941,134389
43608,79766
6408,180923
64572,90120
6408,17903
51014,2975602
230112,3016826
1276,89579
6396,101264
6396,976281
8961,873819
21630,89579
27543,757676
17715,353803
2832618,6423226
2299206,2832618
19076,106406
451267,1504640
108366,359809
128588,231692
14956,36729
16281,128588
5305,540942
139612,359809
6396,515035
1003,80501
8835,34202
6418,75764
207900,372376
32731,3016826
7262,49070
109279,2013105
1954,7095
14956,29869
963,23250
109279,247459
21815,27544
372376,1798463
18735,22907
289092,1200601
3080,18860
6408,20193
6599,13542
963,60449
109279,873862
38622,124886
43608,164087
48889,80501
1005,109279
22907,400195
11032,88607
9930,282056
8209,70698
72794,125244
6426,134626
837070,6087862
13395,668790
12662,884806
974,73897
359809,767220
101264,114988
8961,9779
64572,449745
8835,484237
975666,2514587
17401,484237
4796,1459188
1276,18145
8961,271051
212938,4504297
18860,107848
974,8267
55716,1530004
999,17903
963,1523433
43608,391067
5305,13798
962,143713
391036,546952
134626,480790
1276,4476
1003,404238
89579,5629049
203,223056
12803,14956
6396,68080
89579,3166792
12662,160844
8835,292833
9215,539505
89579,195898
17401,250683
11032,1303874
974,209382
10058,73897
168013,549366
65730,232765
6221,160844
29869,239889
25158,89579
8209,407104
1003,1504640
14005,289092
41747,6970188
51014,1200952
14765,31284
6396,3157286
74655,584349
992,5013455
10047,327307
22907,205401
9326,1200952
1954,874145
8209,2019222
11032,50505
497712,1621788
6407,14005
6221,64994
31284,1621788
9215,712940
17882,44090
251509,289092
109279,5526484
274885,1303874
9215,24358
10047,2698894
6448,134626
6407,17715
6408,124338
34389,84045
14956,3608067
1003,8267
9930,45767
6396,3608067
8267,13542
17715,1946887
6418,144309
8961,10047
8835,18767
9930,155173
134626,931422
8209,102246
359809,620460
974,5160862
31284,1459188
271051,549366
8209,17715
1003,470738
6396,660460
60449,359809
6418,78679
51014,1420964
221359,274885
17401,21630
32738,109279
975666,2760043
8835,21630
6400,267472
125244,148673
999,103775
9930,292833
68080,372376
31284,2698894
144309,2317752
6408,1530004
19076,4939945
212938,294964
134389,2514587
109279,301614
6087862,6150533
56518,535454
29128,44764
13542,14956
14765,2832618
17715,187519
932401,3566761
974,389235
2522079,2832618
19076,1212932
1831,39559
992,1179660
109279,391067
39559,106334
9972,125244
6396,1813441
32738,128588
47185,549366
203,32731
8267,253991
17715,226706
51014,180923
372376,818343
13395,162045
6409,134626
144309,359809
17715,18042
289092,3444046
5305,63463
11626,128608
371717,668790
974,15170
10058,139612
28152,31284
221359,320603
3215,12662
39559,1504640
11961,109279
8961,51565
3080,128608
18860,103775
8961,1523433
124633,5526484
14956,3860924
6396,11961
974,108349
963,244389
73897,149859
3941,6418
134389,5526484
995,74655
264561,372376
1831,1575077
9779,23180
29128,239889
89579,205401
1199,1946486
1831,64994
549366,2354983
6418,451267
963,44090
3016826,5332833
41747,539505
11032,498693
8961,17413
883111,932401
1831,274885
79766,89579
962,264561
535454,1094566
230112,359809
10047,146539
24358,39559
6221,301614
128588,209382
64572,307240
1003,230112
1003,18042
1276,209755
31284,3250792
64994,419256
14956,27543
17715,2760043
43608,80638
549366,790137
974,79778
10058,134626
51565,372376
5305,200568
39559,73761
109279,233850
90075,101264
5305,90075
14162,125244
17715,36493
1084354,3016826
18860,18966
17715,96552
995,221359
974,66641
8835,833142
1831,712940
106406,359809
128588,976281
39559,1946887
969,64572
17401,63463
195898,371717
6409,17715
17715,289822
995,11855
29256,65645
6400,18138
125244,1149611
995,484237
974,302674
451267,1149611
258511,2832618
9326,2452104
90075,932682
1276,326036
1504640,1530004
963,404238
1361,51565
1361,89579
1565,43608
31284,3143231
79778,535454
9326,39559
18263,64994
39559,124633
101264,2679321
69114,89579
549366,2452104
6408,96550
67240,209755
6396,601061
1200952,3444046
1530004,2013105
6418,2698894
6408,1767861
126017,148673
11961,624186
49070,212623
962,712940
6408,27900
14005,769869
5364,29869
8267,11306
44090,164087
14956,21594
535454,2054114
1003,2998780
41747,97595
29869,248400
14005,108349
992,3180433
351041,2832618
462474,1969795
203,1003
9326,106334
10058,17715
11032,400195
974,3016826
6408,23250
2856,6599
17401,178018
6408,209755
6400,67240
17715,140085
60449,144309
6396,106334
12662,320603
9779,69114
41505,209755
9139,209755
974,4725
17715,929884
2302,73581
8961,612914
999,1565
8835,79766
11032,96783
969,995
2302,6408
1003,15030
2122,6290
372376,539505
43608,65645
1831,2019222
3854,64994
125007,180176
1530004,3401881
39559,2948730
10058,51014
29869,461361
44090,371717
1361,44090
8209,1397211
9930,451267
6400,69114
1831,1420964
1954,584349
17401,144292
17715,349223
999,73581
8835,29128
44090,51048
995,135433
992,729407
372376,1946486
202181,644767
6221,1303874
5305,449745
28152,39559
14005,64994
96552,258570
963,122687
11032,975666
71520,2832618
7095,209755
6442,125244
1327,18860
359809,3250792
89579,520587
247459,549366
974,80638
10058,141264
11032,873819
1954,126017
6221,14162
44090,484237
359809,551259
9930,10108
17401,27543
974,7262
995,3608067
43608,394213
974,65030
995,28560
9215,65730
1831,2054114
6418,14765
17903,84045
10047,883111
11855,38622
14005,88450
14956,305784
9779,14956
17781,43608
6290,15369
974,45646
974,161524
39559,1911478
10047,10058
391036,3307455
549366,833142
39559,624186
89579,109279
5305,21464
6396,551259
11032,757676
68080,1200601
932401,3166792
10108,14956
64994,873819
963,79778
14956,50484
5305,249329
8961,44090
90075,4868633
5305,16281
6221,14005
14005,1212932
207900,320603
999,4476
4360,85840
14956,167817
9779,43290
6408,125007
114081,134389
89579,498693
11032,17413
89579,391036
31284,1956414
8260,51565
6400,202665
27543,251509
6408,975666
22907,28183
992,551259
244389,644767
23706,90075
1831,1179660
995,151722
9858,535454
10058,128588
221359,359809
103775,128588
1003,292833
992,136906
3080,584349
61365,64994
17715,128588
134389,546952
9779,549366
9930,320118
18860,178018
13395,161660
13395,13542
1003,155173
1831,1094566
2613,197480
51014,2019222
6423,14956
41747,1721546
995,540942
8835,381455
1831,134389
63463,1786383
79778,966079
22907,280396
8335,44028
6858,27544
18143,27544
4360,6993
1003,71750
963,32738
1003,535454
451267,1420964
264561,359809
6221,85840
4796,14005
974,231692
274885,456559
6221,6418
17715,138902
11855,17715
995,6858
6290,151722
134389,2679321
55618,109279
8267,185845
995,146516
14765,101264
3250792,4939945
999,1276
9326,1813441
3215,12573
14956,878282
8835,143012
12662,143713
12035,16718
108787,1798463
212623,549366
10047,96552
48889,2013105
6442,63463
9215,41747
51014,1813441
963,540052
17750,125007
11032,2054114
6409,18787
5364,17401
89579,107848
43608,873862
5305,68080
41747,1819502
1565,8267
999,69696
549366,767220
10047,18898
5305,186739
6396,1441352
8961,155269
992,223056
21594,66641
14005,124633
372376,524400
359809,5629049
963,3921910
8961,17882
29128,70710
6290,394213
9779,320603
14956,3307455
14005,17413
13395,18966
9930,168160
6409,186739
1954,391067
2832618,3272060
18767,22907
29128,451267
38552,96552
963,28589
999,35468
108787,883111
17715,19930
17715,244389
29869,65030
6409,63485
64994,147212
89579,2698894
13395,18804
67240,226706
128588,344213
17903,29869
247459,451267
8938,9930
1199,207900
8267,18263
251509,1420964
144292,320603
462474,1249760
96552,212977
11032,2019222
6418,5160862
1003,757676
320704,359809
963,10978
125244,271051
6400,292833
17715,449745
6216,14005
9779,301614
5305,168160
6396,1530004
22907,51048
3080,209755
12803,2832618
128588,406792
158820,197480
36729,223056
289092,2514587
12803,975666
34389,71551
2907,109279
7095,873862
28152,230112
6396,51014
5013455,6087862
17715,97449
974,6150533
6423,549366
14956,23180
6418,1397211
11032,205476
963,29128
524400,549366
51014,3401881
406792,6087862
1527499,8099636
963,80501
6858,15170
2832618,3307455
10047,108349
8209,96550
17715,74298
63463,2354983
962,959681
166912,209382
41747,48889
203,974
14005,160844
27544,166912
9779,9972
9930,369564
8961,201236
51565,65645
1199,14956
1003,8938
963,11961
8835,247459
32731,1767861
5305,124633
41747,3873100
128588,5160862
10160,31284
535454,1027513
6221,251509
9930,88450
6400,385185
14005,1200601
18860,540052
31284,1911478
10047,3658898
10047,101264
6216,6400
51565,195898
31284,931422
106334,125244
6418,108349
9930,49070
932401,3921910
5305,2186895
44090,168013
391036,2317752
19076,2832618
38622,774921
134626,1149611
1327,17903
108349,883111
3215,36486
230112,1459188
7257,14005
134389,354317
1003,17930
995,12035
5305,50149
6400,32952
128588,1300606
88607,451267
12017,51565
14956,18263
9930,15030
4130,320603
87176,134626
108787,180923
35468,89579
6221,9779
30453,77112
2198787,5013455
974,8209
49070,155269
109279,289092
51014,563612
289092,1420964
19076,83505
6396,105379
68080,128588
49070,116993
462474,1530004
995,873819
17930,64994
995,381455
8335,549366
4228415,6611460
289092,470616
974,73581
18145,67240
230112,1013109
1563,6408
992,567714
12035,394213
969,51565
18787,64994
77112,584349
114081,124633
975666,3401881
21594,43608
39559,2317752
999,6898
6858,18767
10058,180923
6993,18860
17715,51565
44090,151239
108787,3936399
1003,56518
16391,49070
108787,3166792
128588,883111
6409,831087
381455,540052
71551,84045
14005,25158
1013109,2408940
49070,461361
5305,17716
6409,49546
9779,456559
6418,36486
7095,41505
995,223056
8267,18735
2302,43608
65645,1504640
6400,1249760
244389,2832618
12662,180923
18860,280396
6221,195898
289092,6087862
27544,64994
32731,69505
48889,1798463
67240,185845
18860,125007
48889,1200601
44090,155269
13395,583276
70698,540052
6408,207900
108787,318560
9326,3566761
64994,155173
8961,33428
27543,109279
9779,38552
230112,308968
41747,3272060
439,9930
883111,959681
75764,134389
7095,89643
109279,404238
109279,135433
6408,49546
2907,51565
992,83505
963,45458
932401,3924772
5305,244389
32731,406792
90075,567714
2832618,3921910
6400,15170
6408,24772
962,167911
14956,2186895
962,391036
65645,831087
48889,72794
17750,89579
17715,1946486
79298,1200952
2857,13395
32626,151722
1200952,3921910
932401,1839508
974,21630
320603,456559
70891,601061
14956,470738
289092,320118
14005,141264
29128,125244
24772,31284
65730,233850
39495,2698894
51014,4652874
962,36752
89579,451267
1954,6221
78234,289092
6400,1523433
65730,540942
71282,2832618
9326,2832618
12662,65645
10047,167817
8267,109279
963,1721546
8267,202665
1199,88607
14765,134389
69114,187519
1831,55621
33428,67240
36692,381455
963,48049
8835,88450
20158,44090
29128,36493
5305,831087
6408,13567
17715,32952
69696,353801
125007,612914
974,103598
995,264561
6396,2679321
6409,38552
80197,535454
19076,5573065
27543,70698
48889,665270
1003,1836290
4796,391036
128588,8749267
5305,74298
14005,15030
34389,122687
10047,158744
197480,480758
6418,60449
5305,462474
65645,959681
995,10978
43608,107848
962,186739
1361,44028
29128,33441
9779,45646
1199,36486
8961,125244
18804,197480
6409,45458
6418,168160
41747,4226834
12017,125244
6396,462474
67240,128588
44090,369564
51014,1530004
1831,12573
999,15170
999,6409
14005,36590
1003,248400
53131,70698
128588,359809
17715,142195
68080,451267
80197,975666
1831,3444046
14956,1798463
39559,141264
69994,1530004
7257,19076
27544,594993
1877859,2832618
22869,32731
12573,14956
6599,574487
644767,2514587
2832618,6791829
8961,108787
41747,535454
232765,289092
974,833142
17715,135433
289092,1094566
6400,73581
969,125244
128588,2317752
51048,1523433
44147,128588
108787,462474
9215,134389
27900,124633
4725,51565
1003,354317
14162,51565
51014,2748509
6408,146539
8835,20158
36692,69696
18860,498693
8209,1721546
63463,64994
65645,106334
144309,354317
14956,18787
6290,164087
992,60449
5269945,8099636
141264,289092
1954,2856
359809,1459188
1003,318560
963,32626
25158,51565
644767,913076
963,19930
64994,103598
64994,69114
28183,38622
83505,359809
17401,151239
43608,61913
14956,302674
535454,1672862
8267,125007
250683,353801
32952,251509
134626,143012
974,130877
6396,21464
1003,1361
6408,6423
38622,77588
6221,96783
963,277195
8267,63485
109903,125244
44090,107848
63463,251509
6221,232765
6408,47185
38525,274885
17401,353803
9858,41747
10047,1044882
38246,51014
5305,108787
6396,73897
128588,884806
8961,371717
134389,3307455
6408,18898
8938,8961
53131,251509
39559,207900
128588,212938
146516,209755
9215,959681
963,381455
3080,874061
6408,344213
995,4725
19076,6970188
6400,17413
32731,520587
6396,78970
1200952,2760043
10047,1504640
8938,109279
1954,77565
1003,7262
17401,155269
11032,28560
32731,102246
41747,2760043
109279,320603
11961,1397211
39559,136906
22907,326036
19076,4226834
6400,108787
3164,125244
962,1236618
34389,874047
3215,6408
27543,147212
883111,1911478
125244,976281
65730,144292
992,78970
10047,470738
3080,80638
64994,251509
963,116993
883111,1946887
8961,205476
6400,239889
9930,80501
974,2748509
6396,24358
31284,180923
19076,230112
1003,6407
372376,449745
28887,89579
11032,78768
41747,167817
963,1094566
995,90075
128588,1819502
8961,138902
27543,187519
38622,289822
39559,56518
128588,757676
963,39614
5364,9930
6408,932401
6409,155269
43290,51565
1003,48889
14956,353801
8335,125007
31817,128588
11855,14956
17903,61365
6408,36493
10047,1946887
6993,44028
128588,318560
124633,1200952
5305,28345
8961,18930
439,6400
232765,372376
1005,64994
43608,69696
10058,29256
49070,878282
29128,104557
1954,1523433
51014,2760043
18804,128608
6396,10047
29128,389235
1199,2452104
39559,1236618
6396,128588
70698,274885
1831,96783
1831,72794
106406,6087862
289092,837070
23180,108787
13395,79766
883111,912668
78970,128588
1831,79778
320603,320704
1199,32731
6408,12035
168346,975666
13395,584349
456559,1530004
9972,64994
114988,128588
963,89579
8209,13567
78970,3307455
5064,209755
51565,187519
9326,48889
143713,1530004
932401,5013455
17401,162045
3080,34389
125244,247459
38622,42155
128608,874055
28106,128608
5305,1767861
974,12573
18767,128588
8209,38525
13395,774921
14956,148673
6408,64994
963,253078
63463,128588
5305,96550
9930,976281
9930,1839508
96783,108787
17715,146516
6400,113430
6396,966079
999,160699
17715,932401
44090,1523433
5305,6221
995,6418
6409,1149611
6396,90075
962,21464
13691,64994
5305,18787
5064,17903
37213,391036
14162,451267
8209,5160862
8961,116993
12662,41747
32731,45767
1013109,2832618
63463,109279
17715,90966
359809,1210398
992,320118
